Name,Latitude,Longitude,Population
Adelanto,34.582769,-117.409214,31765
Agoura Hills,34.153339,-118.761675,20330
Alameda,37.765206,-122.241636,73812
Albany,37.886869,-122.297747,18539
Alhambra,34.095286,-118.127014,83089
Aliso Viejo,33.575,-117.725556,2827
Alturas,41.487114,-120.542456,185
Amador City,38.419356,-120.824103,336265
American Canyon,38.174917,-122.260803,9932
Anaheim,33.835292,-117.914503,3836
Anderson,40.448208,-122.297783,102372
Angels,38.067783,-120.538531,69135
Antioch,38.004922,-121.805789,56364
Arcadia,34.139728,-118.035344,17231
Arcata,40.866517,-124.082839,17252
Arroyo Grande,35.118586,-120.590725,16522
Artesia,33.865847,-118.083122,19304
Arvin,35.2018,-118.833106,28310
Atascadero,35.489417,-120.670725,6914
Atwater,37.347717,-120.609083,28168
Auburn,38.896564,-121.076889,13330
Avalon,33.342819,-118.328228,3728
Avenal,36.004122,-120.129028,15505
Azusa,34.133619,-117.907564,46361
Bakersfield,35.373292,-119.018711,347483
Baldwin Park,34.085286,-117.960897,75390
Banning,33.925572,-116.876411,29603
Barstow,34.895797,-117.017283,22639
Beaumont,33.929461,-116.977247,36877
Bell,33.977514,-118.187017,35477
Bell Gardens,33.965292,-118.151458,42072
Bellflower,33.881683,-118.117011,76616
Belmont,37.520214,-122.2758,25835
Belvedere,37.872703,-122.464417,2068
Berkeley,37.871592,-122.272747,26997
Beverly Hills,34.073619,-118.400356,112580
Big Bear Lake,34.243897,-116.911422,34109
Biggs,39.412389,-121.71275,5019
Bishop,37.363539,-118.395111,1707
Blue Lake,40.882908,-123.98395,3879
Blythe,33.617233,-114.589175,1253
Bradbury,34.14695,-117.970897,20817
Brawley,32.978658,-115.530267,1048
Brea,33.916681,-117.900061,24953
Brentwood,34.057361,-118.480511,39282
Brisbane,37.680767,-122.399972,51481
Buellton,34.613597,-120.19265,4282
Buena Park,33.867514,-117.998117,80530
Burbank,34.180839,-118.308967,103340
Burlingame,37.584103,-122.366083,28806
Calabasas,34.138333,-118.660833,38572
Calexico,32.678947,-115.498883,14120
California City,35.1258,-117.985903,7705
Calimesa,34.003903,-117.061975,5155
Calipatria,33.125597,-115.514153,65201
Calistoga,38.578797,-122.579706,39349
Camarillo,34.216394,-119.037603,9918
Campbell,37.287164,-121.949958,105328
Canyon Lake,33.685022,-117.273092,3722
Capitola,36.975228,-121.953292,13040
Carlsbad,33.158092,-117.350594,91714
Carmel-By-the-Sea,36.555239,-121.923289,51200
Carpinteria,34.398883,-119.518456,45417
Carson,33.831406,-118.282017,49041
Cathedral City,33.779742,-116.465292,86187
Ceres,37.594933,-120.957711,77983
Cerritos,33.858347,-118.064786,18720
Chico,39.728494,-121.837478,243916
Chino,34.012236,-117.688944,34926
Chino Hills,33.989819,-117.732586,10897
Chowchilla,37.123,-120.260175,8618
Chula Vista,32.640053,-117.084197,95631
Citrus Heights,38.707125,-121.281061,40704
Claremont,34.096675,-117.719778,13380
Clayton,37.941033,-121.935792,1963
Clearlake,38.958231,-122.626372,1792
Cloverdale,38.805461,-123.017222,52154
Clovis,36.825228,-119.702919,5971
Coachella,33.6803,-116.173894,12823
Coalinga,36.139678,-120.36015,96455
Colfax,39.100731,-120.953275,122067
Colton,34.073903,-117.313656,24813
